城市,日期,銷售額,評分_平均,商品類型,比賽日,是比賽日
Baku,2024-04-18,436,4.120552938279694,美食體驗,,False
Baku,2024-04-19,410,4.1512045686769925,一日遊,,False
Baku,2024-04-20,394,4.3048493807282044,美食體驗,,False
Baku,2024-04-21,325,4.095222570578644,美食體驗,,False
Baku,2024-04-22,222,4.747248960897718,美食體驗,,False
Baku,2024-04-23,277,4.93942402643256,交通票券,,False
Baku,2024-04-24,181,4.808872235171489,交通票券,,False
Baku,2024-04-25,410,4.122344436010183,美食體驗,,False
Baku,2024-04-26,482,4.012455952825139,門票,,False
Baku,2024-04-27,253,4.5361081758823305,交通票券,,False
Baku,2024-04-28,156,4.899198577508163,一日遊,,False
Baku,2024-04-29,453,4.915945941661091,交通票券,,False
Baku,2024-04-30,110,4.0806993599866574,一日遊,,False
Baku,2024-05-01,506,4.7449215915834255,一日遊,,False
Baku,2024-05-02,410,4.174789602470934,一日遊,,False
Baku,2024-05-03,123,4.94409618076494,門票,,False
Baku,2024-05-04,295,4.4313342338650035,交通票券,,False
Baku,2024-05-05,161,4.411317862019857,一日遊,,False
Baku,2024-05-06,343,4.623909590374113,一日遊,,False
Baku,2024-05-07,219,4.397735146195137,美食體驗,,False
Baku,2024-05-08,418,4.886887171157459,一日遊,,False
Baku,2024-05-09,487,4.944539449399859,交通票券,,False
Baku,2024-05-10,335,4.6108715315183915,美食體驗,,False
Baku,2024-05-11,160,4.278225982914418,門票,,False
Baku,2024-05-12,387,4.7674356185470455,美食體驗,,False
Baku,2024-05-13,360,4.756229543805212,美食體驗,,False
Baku,2024-05-14,273,4.310759627032589,門票,,False
Baku,2024-05-15,158,4.64623823039864,交通票券,,False
Baku,2024-05-16,488,4.625921255104939,一日遊,,False
Baku,2024-05-17,346,4.341331633866976,一日遊,,False
Baku,2024-05-18,361,4.9755811787663236,門票,,False
Baku,2024-05-19,420,4.383835000755854,美食體驗,,False
Baku,2024-05-20,337,4.205421612966305,美食體驗,,False
Baku,2024-05-21,195,4.376156147762998,交通票券,,False
Baku,2024-05-22,332,4.95735424102888,美食體驗,,False
Baku,2024-05-23,321,4.446942502505166,美食體驗,,False
Baku,2024-05-24,366,4.229051807091761,交通票券,,False
Baku,2024-05-25,116,4.76980732507823,門票,,False
Baku,2024-05-26,484,4.9384935788801485,美食體驗,,False
Baku,2024-05-27,377,4.199218371326762,美食體驗,,False
Baku,2024-05-28,137,4.575550762779988,交通票券,,False
Baku,2024-05-29,347,4.0592838713611705,一日遊,,False
Baku,2024-05-30,176,4.373725463275886,美食體驗,,False
Baku,2024-05-31,425,4.376791019579535,門票,,False
Baku,2024-06-01,230,4.934100541235633,一日遊,,False
Baku,2024-06-02,164,4.526184888770961,一日遊,,False
Baku,2024-06-03,406,4.956447255977391,美食體驗,,False
Baku,2024-06-04,229,4.129379948855112,門票,,False
Baku,2024-06-05,73,4.652487299308374,一日遊,,False
Baku,2024-06-06,332,4.942903646646914,交通票券,,False
Baku,2024-06-07,359,4.985637902482341,一日遊,,False
Baku,2024-06-08,321,4.584089807570401,美食體驗,,False
Baku,2024-06-09,436,4.5023975629406365,美食體驗,,False
Baku,2024-06-10,455,4.2909332333814385,美食體驗,,False
Baku,2024-06-11,152,4.723435933905795,交通票券,,False
Baku,2024-06-12,463,4.371269858590428,美食體驗,,False
Baku,2024-06-13,206,4.605813300790115,門票,,False
Baku,2024-06-14,250,4.069658280302031,交通票券,,False
Baku,2024-06-15,297,4.548519859242131,交通票券,,False
Baku,2024-06-16,295,4.158649816758129,美食體驗,,False
Baku,2024-06-17,257,4.4388056410919825,一日遊,,False
Baku,2024-06-18,206,4.848035424071819,一日遊,,False
Baku,2024-06-19,212,4.966141374014704,一日遊,,False
Baku,2024-06-20,300,4.161992126273242,門票,,False
Baku,2024-06-21,288,4.810608016921077,交通票券,,False
Baku,2024-06-22,338,4.05649605051951,一日遊,,False
Baku,2024-06-23,153,4.424433916700989,一日遊,,False
Baku,2024-06-24,304,4.476871865161374,交通票券,,False
Baku,2024-06-25,409,4.66021931395678,交通票券,,False
Baku,2024-06-26,417,4.663870071629488,一日遊,,False
Baku,2024-06-27,372,4.198853422743176,交通票券,,False
Baku,2024-06-28,488,4.973169407696239,交通票券,,False
Baku,2024-06-29,107,4.649890090185671,一日遊,,False
Baku,2024-06-30,232,4.627350720089521,交通票券,,False
Baku,2024-07-01,276,4.484444653628838,美食體驗,,False
Baku,2024-07-02,167,4.695498257910353,美食體驗,,False
Baku,2024-07-03,333,4.209073631746576,門票,,False
Baku,2024-07-04,210,4.358237005756346,美食體驗,,False
Baku,2024-07-05,340,4.119406888065367,一日遊,,False
Baku,2024-07-06,472,4.19004117465669,美食體驗,,False
Baku,2024-07-07,517,4.798403705791435,美食體驗,,False
Baku,2024-07-08,468,4.299155673773409,交通票券,,False
Baku,2024-07-09,116,4.954094650625804,交通票券,,False
Baku,2024-07-10,219,4.079025463863554,一日遊,,False
Baku,2024-07-11,59,4.6786570457601835,交通票券,,False
Baku,2024-07-12,134,4.8945584570433205,一日遊,,False
Baku,2024-07-13,387,4.901564417849388,一日遊,,False
Baku,2024-07-14,158,4.911838498894901,美食體驗,,False
Baku,2024-07-15,334,4.419627440099493,一日遊,,False
Baku,2024-07-16,348,4.10221986800839,美食體驗,,False
Baku,2024-07-17,196,4.696486027527303,門票,,False
Baku,2024-07-18,307,4.717726927345535,一日遊,,False
Baku,2024-07-19,205,4.0172050798734045,交通票券,,False
Baku,2024-07-20,263,4.761551607915662,一日遊,,False
Baku,2024-07-21,342,4.07936292680153,交通票券,,False
Baku,2024-07-22,100,4.040054346058407,交通票券,,False
Baku,2024-07-23,78,4.492728313071297,交通票券,,False
Baku,2024-07-24,306,4.763133880033075,門票,,False
Baku,2024-07-25,212,4.994880519592089,門票,,False
Baku,2024-07-26,221,4.971062933246331,一日遊,,False
Baku,2024-07-27,387,4.891016093128366,交通票券,,False
Baku,2024-07-28,465,4.3835270438271134,美食體驗,,False
Baku,2024-07-29,355,4.760977727006546,交通票券,,False
Baku,2024-07-30,387,4.794180383078252,美食體驗,,False
Baku,2024-07-31,175,4.3258451127801045,美食體驗,,False
Baku,2024-08-01,468,4.28443889558181,一日遊,,False
Baku,2024-08-02,56,4.576275462303467,美食體驗,,False
Baku,2024-08-03,400,4.504073517845708,門票,,False
Baku,2024-08-04,209,4.71079249361326,門票,,False
Baku,2024-08-05,497,4.884125812861184,門票,,False
Baku,2024-08-06,299,4.198056876472696,門票,,False
Baku,2024-08-07,90,4.048116939857983,交通票券,,False
Baku,2024-08-08,220,4.506032371373218,一日遊,,False
Baku,2024-08-09,519,4.629915427537158,一日遊,,False
Baku,2024-08-10,398,4.464501648286239,一日遊,,False
Baku,2024-08-11,272,4.574140001239712,交通票券,,False
Baku,2024-08-12,365,4.465742362512417,一日遊,,False
Baku,2024-08-13,414,4.78815571780559,門票,,False
Baku,2024-08-14,225,4.217639729574025,一日遊,,False
Baku,2024-08-15,388,4.225862331770298,一日遊,,False
Baku,2024-08-16,260,4.624247379748095,美食體驗,,False
Baku,2024-08-17,400,4.565027544393084,交通票券,,False
Baku,2024-08-18,202,4.70500184321327,門票,,False
Baku,2024-08-19,98,4.815895348668866,交通票券,,False
Baku,2024-08-20,270,4.983419857209605,美食體驗,,False
Baku,2024-08-21,293,4.468004877206,一日遊,,False
Baku,2024-08-22,138,4.763140270975072,門票,,False
Baku,2024-08-23,340,4.544522427218496,門票,,False
Baku,2024-08-24,248,4.582715641648617,美食體驗,,False
Baku,2024-08-25,471,4.101425470971701,門票,,False
Baku,2024-08-26,111,4.508206582488285,一日遊,,False
Baku,2024-08-27,444,4.776469667857094,交通票券,,False
Baku,2024-08-28,392,4.438112762634152,門票,,False
Baku,2024-08-29,137,4.121942806937673,交通票券,,False
Baku,2024-08-30,132,4.654299108601578,美食體驗,,False
Baku,2024-08-31,82,4.680805493735895,美食體驗,,False
Baku,2024-09-01,377,4.741100529058406,美食體驗,,False
Baku,2024-09-02,344,4.7398990150391604,門票,,False
Baku,2024-09-03,233,4.814154576126453,美食體驗,,False
Baku,2024-09-04,101,4.121375999203404,美食體驗,,False
Baku,2024-09-05,202,4.89270395532082,門票,,False
Baku,2024-09-06,173,4.545472308106436,一日遊,,False
Baku,2024-09-07,133,4.36509538552777,一日遊,,False
Baku,2024-09-08,352,4.169754905400419,一日遊,,False
Baku,2024-09-09,164,4.960844915067815,交通票券,,False
Baku,2024-09-10,204,4.932386247402697,美食體驗,,False
Baku,2024-09-11,283,4.245314578243183,交通票券,,False
Baku,2024-09-12,466,4.881311347438545,交通票券,,False
Baku,2024-09-13,286,4.49085445138659,交通票券,,False
Baku,2024-09-14,133,4.535616149832529,一日遊,,False
Baku,2024-09-15,398,4.054665970663062,交通票券,2024-09-15,True
Baku,2024-09-16,166,4.351705687698093,門票,,False
Baku,2024-09-17,359,4.708752140113165,美食體驗,,False
Baku,2024-09-18,442,4.814817159222444,美食體驗,,False
Baku,2024-09-19,180,4.740638602257925,一日遊,,False
Baku,2024-09-20,384,4.920694711890469,交通票券,,False
Baku,2024-09-21,361,4.070056071630352,美食體驗,,False
Baku,2024-09-22,373,4.319644186239558,門票,,False
Baku,2024-09-23,172,4.492713313927859,門票,,False
Baku,2024-09-24,223,4.398628708837962,美食體驗,,False
Baku,2024-09-25,284,4.992658176941821,美食體驗,,False
Baku,2024-09-26,136,4.967494585163539,美食體驗,,False
Baku,2024-09-27,395,4.868740531547691,交通票券,,False
Baku,2024-09-28,278,4.004912030451992,一日遊,,False
Baku,2024-09-29,182,4.106628416484803,一日遊,,False
Baku,2024-09-30,482,4.6574502289652235,一日遊,,False
Baku,2024-10-01,280,4.710156665293233,交通票券,,False
Baku,2024-10-02,147,4.407082395137048,美食體驗,,False
Baku,2024-10-03,108,4.628812752871057,美食體驗,,False
Baku,2024-10-04,383,4.653905224662843,門票,,False
Baku,2024-10-05,380,4.905424962070654,一日遊,,False
Baku,2024-10-06,428,4.296293696691964,一日遊,,False
Baku,2024-10-07,298,4.419268870582529,門票,,False
Baku,2024-10-08,275,4.624970013218805,交通票券,,False
Baku,2024-10-09,463,4.343715755977305,一日遊,,False
Baku,2024-10-10,207,4.459966941243404,交通票券,,False
Baku,2024-10-11,163,4.278287645686348,交通票券,,False
Baku,2024-10-12,108,4.88419194328779,美食體驗,,False
Baku,2024-10-13,454,4.564568550305809,交通票券,,False
Baku,2024-10-14,527,4.881312887215733,交通票券,,False
Baku,2024-10-15,128,4.6441531686368585,門票,,False
Baku,2024-10-16,206,4.898605039252131,一日遊,,False
Baku,2024-10-17,130,4.3412267491350605,門票,,False
Baku,2024-10-18,144,4.475693443137688,美食體驗,,False
Baku,2024-10-19,298,4.916083020386431,交通票券,,False
Baku,2024-10-20,200,4.557187316277463,交通票券,,False
Baku,2024-10-21,238,4.016591087133666,美食體驗,,False
Baku,2024-10-22,441,4.063042764299963,美食體驗,,False
Baku,2024-10-23,514,4.593275543051645,交通票券,,False
Baku,2024-10-24,365,4.935659498942417,美食體驗,,False
Baku,2024-10-25,177,4.4143870038084545,美食體驗,,False
Baku,2024-10-26,310,4.446356249437255,交通票券,,False
Baku,2024-10-27,95,4.759151470765646,交通票券,,False
Baku,2024-10-28,266,4.429835106394468,美食體驗,,False
Baku,2024-10-29,257,4.379030664544927,美食體驗,,False
Baku,2024-10-30,501,4.271614037193836,一日遊,,False
Baku,2024-10-31,305,4.867533871201952,一日遊,,False
Baku,2024-11-01,319,4.987740523593,交通票券,,False
Baku,2024-11-02,247,4.558746987445679,一日遊,,False
Baku,2024-11-03,210,4.772575755230273,交通票券,,False
Baku,2024-11-04,464,4.644514688008938,一日遊,,False
Baku,2024-11-05,249,4.571974085771761,門票,,False
Baku,2024-11-06,331,4.71278177926279,門票,,False
Baku,2024-11-07,350,4.573685873354998,交通票券,,False
Baku,2024-11-08,89,4.477217390829481,交通票券,,False
Baku,2024-11-09,426,4.033031856699134,美食體驗,,False
Baku,2024-11-10,263,4.376489981633648,門票,,False
Baku,2024-11-11,360,4.828468313601618,美食體驗,,False
Baku,2024-11-12,89,4.833903118238083,美食體驗,,False
Baku,2024-11-13,222,4.364074176508647,門票,,False
Baku,2024-11-14,370,4.831727756703227,美食體驗,,False
Baku,2024-11-15,422,4.676263386397953,門票,,False
Baku,2024-11-16,412,4.190365168153461,門票,,False
Baku,2024-11-17,223,4.098794005695316,一日遊,,False
Baku,2024-11-18,232,4.049684355076834,交通票券,,False
Baku,2024-11-19,375,4.02339882558478,交通票券,,False
Baku,2024-11-20,131,4.596674132219148,交通票券,,False
Baku,2024-11-21,405,4.581670149962767,一日遊,,False
Baku,2024-11-22,303,4.03878446299647,門票,,False
Baku,2024-11-23,343,4.415227025751608,美食體驗,,False
Baku,2024-11-24,271,4.201886543052083,美食體驗,,False
Baku,2024-11-25,369,4.135193220059197,美食體驗,,False
Baku,2024-11-26,195,4.997295438711743,門票,,False
Baku,2024-11-27,164,4.500242391465026,美食體驗,,False
Baku,2024-11-28,270,4.471818739388094,美食體驗,,False
Baku,2024-11-29,308,4.182877952502901,美食體驗,,False
Baku,2024-11-30,491,4.082538117207976,門票,,False
Baku,2024-12-01,220,4.917066336615571,美食體驗,,False
Baku,2024-12-02,191,4.928846015967732,一日遊,,False
Baku,2024-12-03,234,4.312100177979583,美食體驗,,False
Baku,2024-12-04,255,4.993974101015324,美食體驗,,False
Baku,2024-12-05,325,4.271336574357758,門票,,False
Baku,2024-12-06,364,4.211120865689436,交通票券,,False
Baku,2024-12-07,355,4.786300027622714,交通票券,,False
Baku,2024-12-08,405,4.363057427876027,美食體驗,,False
Baku,2024-12-09,229,4.037513279584614,一日遊,,False
Baku,2024-12-10,179,4.1005261975309635,交通票券,,False
Baku,2024-12-11,187,4.0615878116765485,交通票券,,False
Baku,2024-12-12,167,4.352116033305636,美食體驗,,False
Baku,2024-12-13,69,4.951908955550913,一日遊,,False
Baku,2024-12-14,180,4.979129942123534,一日遊,,False
Baku,2024-12-15,325,4.61919170124171,美食體驗,,False
Baku,2024-12-16,205,4.7075993479287845,美食體驗,,False
Baku,2024-12-17,149,4.847498175678912,一日遊,,False
Baku,2024-12-18,234,4.781826138412923,一日遊,,False
Baku,2024-12-19,435,4.509660930171033,美食體驗,,False
Baku,2024-12-20,74,4.793234913729586,美食體驗,,False
Baku,2024-12-21,465,4.952806854373881,美食體驗,,False
Baku,2024-12-22,235,4.364786959808078,門票,,False
Baku,2024-12-23,264,4.490554844115529,門票,,False
Baku,2024-12-24,399,4.555515483514631,一日遊,,False
Baku,2024-12-25,412,4.992293138998955,美食體驗,,False
Baku,2024-12-26,224,4.8819111797418335,一日遊,,False
Baku,2024-12-27,501,4.8542451455659785,一日遊,,False
Baku,2024-12-28,293,4.983855347785353,交通票券,,False
Baku,2024-12-29,372,4.800064114415788,美食體驗,,False
Baku,2024-12-30,226,4.589591698981699,門票,,False
Baku,2024-12-31,125,4.6950952389163945,一日遊,,False
Suzuka,2024-02-01,394,4.179723171746155,門票,,False
Suzuka,2024-02-02,469,4.422328324395007,一日遊,,False
Suzuka,2024-02-03,127,4.522761246640425,門票,,False
Suzuka,2024-02-04,451,4.527944203523035,美食體驗,,False
Suzuka,2024-02-05,361,4.935142669134017,一日遊,,False
Suzuka,2024-02-06,94,4.33735421501855,門票,,False
Suzuka,2024-02-07,255,4.683023694836948,門票,,False
Suzuka,2024-02-08,213,4.025124915684655,一日遊,,False
Suzuka,2024-02-09,178,4.353278074272419,門票,,False
Suzuka,2024-02-10,354,4.2647382507183575,美食體驗,,False
Suzuka,2024-02-11,389,4.49739711868559,一日遊,,False
Suzuka,2024-02-12,308,4.7147954142645805,一日遊,,False
Suzuka,2024-02-13,436,4.144376929930818,門票,,False
Suzuka,2024-02-14,346,4.526715945600899,交通票券,,False
Suzuka,2024-02-15,258,4.518742386161254,門票,,False
Suzuka,2024-02-16,129,4.81479023405322,美食體驗,,False
Suzuka,2024-02-17,290,4.861232708505483,美食體驗,,False
Suzuka,2024-02-18,125,4.771997418576585,交通票券,,False
Suzuka,2024-02-19,258,4.019934940502407,交通票券,,False
Suzuka,2024-02-20,216,4.587203854238087,美食體驗,,False
Suzuka,2024-02-21,237,4.1482569999794325,門票,,False
Suzuka,2024-02-22,454,4.203672846042322,一日遊,,False
Suzuka,2024-02-23,464,4.09491546925385,交通票券,,False
Suzuka,2024-02-24,171,4.975148766140114,交通票券,,False
Suzuka,2024-02-25,215,4.884320218519552,交通票券,,False
Suzuka,2024-02-26,482,4.377293523225516,一日遊,,False
Suzuka,2024-02-27,313,4.405535096705612,美食體驗,,False
Suzuka,2024-02-28,300,4.291058600463413,美食體驗,,False
Suzuka,2024-02-29,457,4.912631056886145,美食體驗,,False
Suzuka,2024-03-01,241,4.209734029074348,交通票券,,False
Suzuka,2024-03-02,133,4.0952867730181515,一日遊,,False
Suzuka,2024-03-03,124,4.033813404850577,交通票券,,False
Suzuka,2024-03-04,166,4.611404965398041,一日遊,,False
Suzuka,2024-03-05,383,4.099887521088631,美食體驗,,False
Suzuka,2024-03-06,361,4.011824326745117,一日遊,,False
Suzuka,2024-03-07,331,4.723158401380407,一日遊,,False
Suzuka,2024-03-08,309,4.747808962390076,一日遊,,False
Suzuka,2024-03-09,302,4.2359701819545545,一日遊,,False
Suzuka,2024-03-10,357,4.175077925914153,一日遊,,False
Suzuka,2024-03-11,261,4.728280692719559,交通票券,,False
Suzuka,2024-03-12,386,4.715024295293193,交通票券,,False
Suzuka,2024-03-13,91,4.884932031924043,交通票券,,False
Suzuka,2024-03-14,71,4.182003185907924,交通票券,,False
Suzuka,2024-03-15,415,4.698677225845983,一日遊,,False
Suzuka,2024-03-16,281,4.359971238806513,門票,,False
Suzuka,2024-03-17,354,4.192526697192428,門票,,False
Suzuka,2024-03-18,78,4.6408172888318076,美食體驗,,False
Suzuka,2024-03-19,482,4.979651978001477,美食體驗,,False
Suzuka,2024-03-20,322,4.600370586617415,美食體驗,,False
Suzuka,2024-03-21,376,4.071652684800134,門票,,False
Suzuka,2024-03-22,199,4.717222330912264,一日遊,,False
Suzuka,2024-03-23,196,4.436318772835061,美食體驗,,False
Suzuka,2024-03-24,118,4.530200408967268,一日遊,,False
Suzuka,2024-03-25,530,4.176281278518401,門票,,False
Suzuka,2024-03-26,467,4.745221987894765,美食體驗,,False
Suzuka,2024-03-27,288,4.209429292141072,美食體驗,,False
Suzuka,2024-03-28,413,4.614488708728542,美食體驗,,False
Suzuka,2024-03-29,154,4.317550021974231,門票,,False
Suzuka,2024-03-30,474,4.2884954065944605,美食體驗,,False
Suzuka,2024-03-31,147,4.551010741496863,一日遊,,False
Suzuka,2024-04-01,395,4.0544595180770875,門票,,False
Suzuka,2024-04-02,366,4.085448078304601,美食體驗,,False
Suzuka,2024-04-03,380,4.846019646252145,美食體驗,,False
Suzuka,2024-04-04,412,4.106824215801156,美食體驗,,False
Suzuka,2024-04-05,354,4.176270318774681,美食體驗,,False
Suzuka,2024-04-06,461,4.5592674705781056,交通票券,,False
Suzuka,2024-04-07,281,4.260793531197021,門票,2024-04-07,True
Suzuka,2024-04-08,333,4.110979091095509,一日遊,,False
Suzuka,2024-04-09,376,4.913344551142155,美食體驗,,False
Suzuka,2024-04-10,92,4.635349307712209,門票,,False
Suzuka,2024-04-11,369,4.078206750981774,美食體驗,,False
Suzuka,2024-04-12,201,4.736691396444141,美食體驗,,False
Suzuka,2024-04-13,477,4.349112112972408,一日遊,,False
Suzuka,2024-04-14,362,4.290958175561844,美食體驗,,False
Suzuka,2024-04-15,284,4.574645566111181,美食體驗,,False
Suzuka,2024-04-16,215,4.46151348865938,美食體驗,,False
Suzuka,2024-04-17,184,4.858064347548006,一日遊,,False
Suzuka,2024-04-18,385,4.528092977351868,一日遊,,False
Suzuka,2024-04-19,170,4.583687479659287,門票,,False
Suzuka,2024-04-20,423,4.393489258096209,美食體驗,,False
Suzuka,2024-04-21,180,4.089577977350088,美食體驗,,False
Suzuka,2024-04-22,231,4.293005903976711,美食體驗,,False
Suzuka,2024-04-23,211,4.2809333037925175,一日遊,,False
Suzuka,2024-04-24,468,4.3396875787031535,門票,,False
Suzuka,2024-04-25,292,4.389998402164402,門票,,False
Suzuka,2024-04-26,298,4.220905829025845,美食體驗,,False
Suzuka,2024-04-27,295,4.637384222491933,美食體驗,,False
Suzuka,2024-04-28,341,4.59872230481924,一日遊,,False
Suzuka,2024-04-29,153,4.579423755659652,美食體驗,,False
Suzuka,2024-04-30,403,4.647338441021824,交通票券,,False
Suzuka,2024-05-01,442,4.10064848901975,門票,,False
Suzuka,2024-05-02,494,4.391826735594191,一日遊,,False
Suzuka,2024-05-03,468,4.388124893128459,一日遊,,False
Suzuka,2024-05-04,242,4.485383132722279,交通票券,,False
Suzuka,2024-05-05,348,4.615979126903473,門票,,False
Suzuka,2024-05-06,414,4.3392114360344225,一日遊,,False
Suzuka,2024-05-07,205,4.168508333129363,美食體驗,,False
Suzuka,2024-05-08,479,4.049457367382413,交通票券,,False
Suzuka,2024-05-09,170,4.513610310406222,美食體驗,,False
Suzuka,2024-05-10,488,4.750752164850167,一日遊,,False
Suzuka,2024-05-11,169,4.325973487827675,一日遊,,False
Suzuka,2024-05-12,357,4.631502257901504,一日遊,,False
Suzuka,2024-05-13,254,4.150322597929392,美食體驗,,False
Suzuka,2024-05-14,490,4.288962089216071,美食體驗,,False
Suzuka,2024-05-15,305,4.883775390241247,交通票券,,False
Suzuka,2024-05-16,352,4.614327811557839,美食體驗,,False
Suzuka,2024-05-17,347,4.297160200535794,交通票券,,False
Suzuka,2024-05-18,396,4.905527104952631,美食體驗,,False
Suzuka,2024-05-19,140,4.74002282096896,美食體驗,,False
Suzuka,2024-05-20,371,4.724415651157471,一日遊,,False
Suzuka,2024-05-21,206,4.442038213042502,一日遊,,False
Suzuka,2024-05-22,321,4.594015193386422,交通票券,,False
Suzuka,2024-05-23,484,4.856666334745508,門票,,False
Suzuka,2024-05-24,234,4.113635118511194,交通票券,,False
Suzuka,2024-05-25,152,4.8183876662497775,門票,,False
Suzuka,2024-05-26,198,4.241318463852147,門票,,False
Suzuka,2024-05-27,144,4.915832778680955,一日遊,,False
Suzuka,2024-05-28,414,4.628067034058101,門票,,False
Suzuka,2024-05-29,149,4.57396798448215,美食體驗,,False
Suzuka,2024-05-30,157,4.0266035682438766,一日遊,,False
Suzuka,2024-05-31,211,4.828281756189057,門票,,False
Suzuka,2024-06-01,434,4.3249667884356215,一日遊,,False
Suzuka,2024-06-02,284,4.70121467306416,交通票券,,False
Suzuka,2024-06-03,220,4.8262091584337234,門票,,False
Suzuka,2024-06-04,142,4.000858790588468,交通票券,,False
Suzuka,2024-06-05,148,4.77129757234193,一日遊,,False
Suzuka,2024-06-06,496,4.300223972413659,美食體驗,,False
Suzuka,2024-06-07,263,4.452005876629099,美食體驗,,False
Suzuka,2024-06-08,328,4.351529332384606,門票,,False
Suzuka,2024-06-09,331,4.435597697253108,美食體驗,,False
Suzuka,2024-06-10,474,4.800311744046569,美食體驗,,False
Suzuka,2024-06-11,108,4.977822982658459,門票,,False
Suzuka,2024-06-12,263,4.4629009699213915,一日遊,,False
Suzuka,2024-06-13,507,4.734681870939256,門票,,False
Suzuka,2024-06-14,313,4.580708133360069,一日遊,,False
