城市,週,銷售額,是否比賽週
Monaco,2024-08-12,2229,False
Monaco,2024-08-19,1332,False
Monaco,2024-08-26,2083,False
Monaco,2024-09-02,2571,False
Monaco,2024-09-09,1877,False
Monaco,2024-09-16,2429,False
Monaco,2024-09-23,2291,False
Monaco,2024-09-30,1723,False
Monaco,2024-10-07,2576,False
Monaco,2024-10-14,2548,False
Monaco,2024-10-21,1915,False
Monaco,2024-10-28,1991,False
Monaco,2024-11-04,1679,False
Monaco,2024-11-11,2746,False
Monaco,2024-11-18,2983,False
Monaco,2024-11-25,2580,False
Monaco,2024-12-02,2489,False
Monaco,2024-12-09,1973,False
Monaco,2024-12-16,1993,False
Monaco,2024-12-23,2054,False
Monaco,2024-12-30,606,False
Shanghai,2024-01-29,936,False
Shanghai,2024-02-05,2069,False
Shanghai,2024-02-12,2149,False
Shanghai,2024-02-19,1394,False
Shanghai,2024-02-26,2142,False
Shanghai,2024-03-04,1773,False
Shanghai,2024-03-11,2018,False
Shanghai,2024-03-18,2644,False
Shanghai,2024-03-25,2319,False
Shanghai,2024-04-01,2648,False
Shanghai,2024-04-08,2742,False
Shanghai,2024-04-15,2011,True
Shanghai,2024-04-22,2070,False
Shanghai,2024-04-29,1976,False
Shanghai,2024-05-06,1844,False
Shanghai,2024-05-13,1893,False
Shanghai,2024-05-20,2151,False
Shanghai,2024-05-27,1892,False
Shanghai,2024-06-03,1950,False
Shanghai,2024-06-10,2331,False
Shanghai,2024-06-17,1873,False
Shanghai,2024-06-24,2021,False
Shanghai,2024-07-01,2426,False
Shanghai,2024-07-08,2250,False
Shanghai,2024-07-15,1707,False
Shanghai,2024-07-22,2211,False
Shanghai,2024-07-29,2590,False
Shanghai,2024-08-05,2281,False
Shanghai,2024-08-12,2038,False
Shanghai,2024-08-19,1983,False
Shanghai,2024-08-26,2134,False
Shanghai,2024-09-02,1876,False
Shanghai,2024-09-09,2378,False
Shanghai,2024-09-16,1814,False
Shanghai,2024-09-23,2409,False
Shanghai,2024-09-30,2644,False
Shanghai,2024-10-07,2310,False
Shanghai,2024-10-14,1756,False
Shanghai,2024-10-21,2098,False
Shanghai,2024-10-28,1642,False
Shanghai,2024-11-04,1694,False
Shanghai,2024-11-11,1389,False
Shanghai,2024-11-18,2145,False
Shanghai,2024-11-25,2475,False
Shanghai,2024-12-02,2249,False
Shanghai,2024-12-09,2180,False
Shanghai,2024-12-16,1965,False
Shanghai,2024-12-23,1928,False
Shanghai,2024-12-30,580,False
Singapore,2024-01-29,1318,False
Singapore,2024-02-05,2141,False
Singapore,2024-02-12,2433,False
Singapore,2024-02-19,2347,False
Singapore,2024-02-26,1776,False
Singapore,2024-03-04,2191,False
Singapore,2024-03-11,2413,False
Singapore,2024-03-18,1919,False
Singapore,2024-03-25,1819,False
Singapore,2024-04-01,2359,False
Singapore,2024-04-08,1852,False
Singapore,2024-04-15,2098,False
Singapore,2024-04-22,2397,False
Singapore,2024-04-29,2127,False
Singapore,2024-05-06,2092,False
Singapore,2024-05-13,2073,False
Singapore,2024-05-20,1616,False
Singapore,2024-05-27,2162,False
Singapore,2024-06-03,1992,False
Singapore,2024-06-10,2440,False
Singapore,2024-06-17,2271,False
Singapore,2024-06-24,2294,False
Singapore,2024-07-01,1692,False
Singapore,2024-07-08,2974,False
Singapore,2024-07-15,2190,False
Singapore,2024-07-22,1909,False
Singapore,2024-07-29,1974,False
Singapore,2024-08-05,2017,False
Singapore,2024-08-12,2073,False
Singapore,2024-08-19,1858,False
Singapore,2024-08-26,2480,False
Singapore,2024-09-02,2190,False
Singapore,2024-09-09,1908,False
Singapore,2024-09-16,1948,True
Singapore,2024-09-23,2282,False
Singapore,2024-09-30,2458,False
Singapore,2024-10-07,2180,False
Singapore,2024-10-14,2376,False
Singapore,2024-10-21,1801,False
Singapore,2024-10-28,2106,False
Singapore,2024-11-04,2044,False
Singapore,2024-11-11,1696,False
Singapore,2024-11-18,2774,False
Singapore,2024-11-25,2616,False
Singapore,2024-12-02,2190,False
Singapore,2024-12-09,2326,False
Singapore,2024-12-16,2414,False
Singapore,2024-12-23,2014,False
Singapore,2024-12-30,808,False
Suzuka,2024-01-29,1441,False
Suzuka,2024-02-05,1844,False
Suzuka,2024-02-12,1892,False
Suzuka,2024-02-19,2015,False
Suzuka,2024-02-26,2050,False
Suzuka,2024-03-04,2209,False
Suzuka,2024-03-11,1859,False
Suzuka,2024-03-18,1771,False
Suzuka,2024-03-25,2473,False
Suzuka,2024-04-01,2649,True
Suzuka,2024-04-08,2210,False
Suzuka,2024-04-15,1841,False
Suzuka,2024-04-22,2136,False
Suzuka,2024-04-29,2550,False
Suzuka,2024-05-06,2282,False
Suzuka,2024-05-13,2284,False
Suzuka,2024-05-20,1966,False
Suzuka,2024-05-27,1793,False
Suzuka,2024-06-03,1928,False
Suzuka,2024-06-10,2511,False
Suzuka,2024-06-17,2329,False
Suzuka,2024-06-24,1873,False
Suzuka,2024-07-01,1685,False
Suzuka,2024-07-08,2187,False
Suzuka,2024-07-15,2626,False
Suzuka,2024-07-22,1792,False
Suzuka,2024-07-29,2247,False
Suzuka,2024-08-05,1491,False
Suzuka,2024-08-12,2278,False
Suzuka,2024-08-19,2021,False
Suzuka,2024-08-26,1871,False
Suzuka,2024-09-02,1730,False
Suzuka,2024-09-09,2430,False
Suzuka,2024-09-16,2711,False
Suzuka,2024-09-23,1919,False
Suzuka,2024-09-30,2003,False
Suzuka,2024-10-07,2370,False
Suzuka,2024-10-14,2354,False
Suzuka,2024-10-21,2075,False
Suzuka,2024-10-28,2099,False
Suzuka,2024-11-04,2462,False
Suzuka,2024-11-11,2598,False
Suzuka,2024-11-18,1995,False
Suzuka,2024-11-25,1646,False
Suzuka,2024-12-02,2130,False
Suzuka,2024-12-09,2163,False
Suzuka,2024-12-16,2228,False
Suzuka,2024-12-23,2542,False
Suzuka,2024-12-30,667,False
